,AWSSI,TempScore,SnowScore,Length,start_scale,end_scale,Total_Admits,male,female,white,black,nvr_mrrd,married,separated,divcd_wdw,No_HS,HS_not_grad,HS_grad,Post_HS,BS_or_more,full_time,part_time,unemployed,not_in_wrkfrc,civilian,veteran
count,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
mean,671.6521739130435,317.82608695652175,353.82608695652175,147.30434782608697,38.608695652173914,107.69565217391305,29724.782608695652,22074.347826086956,7644.826086956522,23474.869565217392,3455.0,16593.304347826088,4585.217391304348,1994.1304347826087,6400.608695652174,3669.391304347826,3716.0,13713.478260869566,5362.173913043478,2818.8260869565215,6809.304347826087,2021.4347826086957,3567.391304347826,17085.521739130436,29146.304347826088,574.3478260869565
std,275.58014981549746,83.23714870717994,212.46147290827986,15.72327395530326,13.347587900695707,12.45148688678182,5096.083825810148,3825.2193354665137,1471.4278054193705,4263.311754795451,664.8873452083307,2820.1966474759843,809.5308381189767,494.648663593926,1271.855221146382,2008.8541450997843,3306.3972290642328,2528.317853823066,1546.6970571386191,941.7289057981657,1666.7140081550397,445.4932737056712,2255.232476207083,3802.953946002373,4790.501078695238,531.9453670423181
min,260.0,176.0,84.0,108.0,20.0,77.0,18216.0,13412.0,4803.0,13934.0,2485.0,10419.0,2856.0,1166.0,3775.0,1230.0,0.0,8970.0,2941.0,1680.0,3835.0,1061.0,1076.0,12052.0,18210.0,0.0
25%,445.0,263.0,208.5,137.0,29.5,100.5,28230.0,20290.0,7055.0,22204.0,2890.0,15357.5,4205.0,1606.5,5865.0,2088.0,0.0,11815.0,4381.5,2115.5,6111.5,1903.5,1815.5,13486.0,27617.0,123.0
50%,595.0,311.0,305.0,148.0,38.0,109.0,30886.0,22536.0,7866.0,24392.0,3636.0,16775.0,4816.0,1863.0,6620.0,3120.0,3773.0,13671.0,4855.0,2376.0,6812.0,2212.0,2673.0,17441.0,29969.0,421.0
75%,910.5,371.0,505.5,159.0,48.0,115.0,32674.5,24934.5,8484.0,25936.5,4051.5,18266.0,4977.5,2409.5,7240.0,5135.5,7130.0,15497.0,7041.5,3820.5,7399.5,2272.0,5656.0,20627.0,32022.0,996.0
max,1196.0,482.0,714.0,172.0,64.0,128.0,37349.0,27221.0,10155.0,29612.0,4552.0,21909.0,6041.0,2710.0,8234.0,7974.0,7935.0,18103.0,7526.0,4262.0,10539.0,2585.0,8007.0,22508.0,36749.0,1564.0
