,AWSSI,TempScore,SnowScore,Length,start_scale,end_scale,Total_Admits,male,female,white,black,No_HS_degree,HS_grad,college,nvr_mrrd,some_marriage,working,no_work
count,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
mean,671.6521739130435,317.82608695652175,353.82608695652175,147.30434782608697,38.608695652173914,107.69565217391305,29724.782608695652,22074.347826086956,7644.826086956522,23474.869565217392,3455.0,7385.391304347826,13713.478260869566,8181.0,16593.304347826088,12979.95652173913,8830.739130434782,20652.91304347826
std,275.58014981549746,83.23714870717994,212.46147290827986,15.72327395530326,13.347587900695707,12.45148688678182,5096.083825810148,3825.2193354665137,1471.4278054193705,4263.311754795451,664.8873452083307,2371.2727640950825,2528.317853823066,2471.8782332469373,2820.1966474759843,2412.9022788158295,2054.2909242804503,3390.4948943271543
min,260.0,176.0,84.0,108.0,20.0,77.0,18216.0,13412.0,4803.0,13934.0,2485.0,4437.0,8970.0,4621.0,10419.0,7797.0,4921.0,13294.0
25%,445.0,263.0,208.5,137.0,29.5,100.5,28230.0,20290.0,7055.0,22204.0,2890.0,5140.5,11815.0,6502.0,15357.5,11992.0,8034.0,18655.5
50%,595.0,311.0,305.0,148.0,38.0,109.0,30886.0,22536.0,7866.0,24392.0,3636.0,6996.0,13671.0,7231.0,16775.0,13385.0,8941.0,20967.0
75%,910.5,371.0,505.5,159.0,48.0,115.0,32674.5,24934.5,8484.0,25936.5,4051.5,9828.5,15497.0,10927.5,18266.0,15172.5,9532.0,23371.0
max,1196.0,482.0,714.0,172.0,64.0,128.0,37349.0,27221.0,10155.0,29612.0,4552.0,10948.0,18103.0,11647.0,21909.0,15896.0,13063.0,25230.0
